player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Deandre Ayton,aytonde01,2026,58,456.0,67.0,2026-03-14,,,DEN,"W, 127-125 (OT)",*,,4.0,6.0,0.667,0.0,0.0,4.0,6.0,0.667,0.667,1.0,4.0,0.25,4.0,5.0,9.0,2.0,0.0,1.0,2.0,3.0,9.0,8.4,1.0
Deandre Ayton,aytonde01,2026,59,457.0,68.0,2026-03-16,,,HOU,"W, 100-92",*,,3.0,6.0,0.5,0.0,0.0,3.0,6.0,0.5,0.5,1.0,2.0,0.5,6.0,5.0,11.0,0.0,1.0,1.0,1.0,1.0,7.0,9.6,11.0
Deandre Ayton,aytonde01,2026,60,458.0,69.0,2026-03-18,,,HOU,"W, 124-116",*,,8.0,10.0,0.8,0.0,0.0,8.0,10.0,0.8,0.8,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,3.0,1.0,3.0,16.0,15.1,1.0
Deandre Ayton,aytonde01,2026,61,459.0,70.0,2026-03-19,,,MIA,"W, 134-126",*,,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,5.0,6.0,2.3,13.0
Deandre Ayton,aytonde01,2026,62,460.0,71.0,2026-03-21,,,ORL,"W, 105-104",*,,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,3.0,6.0,0.5,6.0,6.0,12.0,1.0,0.0,0.0,2.0,1.0,9.0,10.5,2.0
Deandre Ayton,aytonde01,2026,63,461.0,72.0,2026-03-23,,,DET,"L, 110-113",*,,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,3.0,4.0,0.75,4.0,6.0,10.0,0.0,1.0,0.0,1.0,2.0,13.0,14.2,-6.0
Deandre Ayton,aytonde01,2026,64,462.0,74.0,2026-03-27,,,BRK,"W, 116-99",*,,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,4.0,0.75,1.0,6.0,7.0,0.0,1.0,3.0,2.0,2.0,9.0,10.5,5.0
Deandre Ayton,aytonde01,2026,65,463.0,75.0,2026-03-30,,,WAS,"W, 120-101",*,,5.0,5.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,7.0,1.0,0.0,3.0,2.0,0.0,12.0,14.2,9.0
Deandre Ayton,aytonde01,2026,66,464.0,76.0,2026-03-31,,,CLE,"W, 127-113",*,,8.0,13.0,0.615,0.0,0.0,8.0,13.0,0.615,0.615,2.0,3.0,0.667,6.0,3.0,9.0,1.0,1.0,1.0,0.0,1.0,18.0,18.8,10.0
Deandre Ayton,aytonde01,2026,67,465.0,77.0,2026-04-02,,,OKC,"L, 96-139",*,,4.0,7.0,0.571,0.0,0.0,4.0,7.0,0.571,0.571,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,6.0,-23.0
Deandre Ayton,aytonde01,2026,68,466.0,78.0,2026-04-05,,,DAL,"L, 128-134",*,,5.0,9.0,0.556,0.0,0.0,5.0,9.0,0.556,0.556,3.0,4.0,0.75,2.0,2.0,4.0,1.0,0.0,1.0,0.0,2.0,13.0,10.9,0.0
Deandre Ayton,aytonde01,2026,69,467.0,79.0,2026-04-07,,,OKC,"L, 87-123",*,,1.0,4.0,0.25,0.0,0.0,1.0,4.0,0.25,0.25,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,3.0,0.4,-26.0
Deandre Ayton,aytonde01,2026,70,468.0,80.0,2026-04-09,,,GSW,"W, 119-103",*,,9.0,11.0,0.818,0.0,0.0,9.0,11.0,0.818,0.818,3.0,4.0,0.75,3.0,2.0,5.0,1.0,0.0,1.0,0.0,2.0,21.0,19.8,19.0
Deandre Ayton,aytonde01,2026,71,469.0,81.0,2026-04-10,,,PHO,"W, 101-73",*,,4.0,8.0,0.5,0.0,0.0,4.0,8.0,0.5,0.5,2.0,2.0,1.0,2.0,3.0,5.0,0.0,1.0,1.0,0.0,2.0,10.0,9.2,19.0
Deandre Ayton,aytonde01,2026,72,470.0,82.0,2026-04-12,,,UTA,"W, 131-107",*,,10.0,14.0,0.714,0.0,0.0,10.0,14.0,0.714,0.714,2.0,2.0,1.0,3.0,7.0,10.0,1.0,0.0,3.0,0.0,1.0,22.0,22.8,13.0
