file,player,season,status
data\gamelogs\2023\suggsja01.csv,Jalen Suggs,2023,ok
data\gamelogs\2023\swideco01.csv,Cole Swider,2023,ok
data\gamelogs\2023\tateja01.csv,Jae'Sean Tate,2023,ok
data\gamelogs\2023\tatumja01.csv,Jayson Tatum,2023,ok
data\gamelogs\2023\taylote01.csv,Terry Taylor,2023,ok
data\gamelogs\2023\templga01.csv,Garrett Temple,2023,ok
data\gamelogs\2023\terryda01.csv,Dalen Terry,2023,ok
data\gamelogs\2023\theisda01.csv,Daniel Theis,2023,ok
data\gamelogs\2023\thomaca01.csv,Cam Thomas,2023,ok
data\gamelogs\2023\thompkl01.csv,Klay Thompson,2023,ok
data\gamelogs\2023\thomptr01.csv,,2023,empty_csv
data\gamelogs\2023\thorjt01.csv,JT Thor,2023,ok
data\gamelogs\2023\thybuma01.csv,Matisse Thybulle,2023,ok
data\gamelogs\2023\tillmxa01.csv,Xavier Tillman Sr.,2023,ok
data\gamelogs\2023\toppiob01.csv,Obi Toppin,2023,ok
data\gamelogs\2023\townska01.csv,Karl-Anthony Towns,2023,ok
data\gamelogs\2023\trentga01.csv,Gary Trent Jr.,2023,ok
data\gamelogs\2023\tuckepj01.csv,P.J. Tucker,2023,ok
data\gamelogs\2023\turnemy01.csv,Myles Turner,2023,ok
data\gamelogs\2023\umudest01.csv,Stanley Umude,2023,ok
data\gamelogs\2023\valanjo01.csv,Jonas Valančiūnas,2023,ok
data\gamelogs\2023\vandeja01.csv,Jarred Vanderbilt,2023,ok
data\gamelogs\2023\vanvlfr01.csv,Fred VanVleet,2023,ok
data\gamelogs\2023\vassede01.csv,Devin Vassell,2023,ok
data\gamelogs\2023\vincega01.csv,Gabe Vincent,2023,ok
data\gamelogs\2023\vucevni01.csv,Nikola Vučević,2023,ok
data\gamelogs\2023\wadede01.csv,Dean Wade,2023,ok
data\gamelogs\2023\wagnefr01.csv,Franz Wagner,2023,ok
data\gamelogs\2023\wagnemo01.csv,Moritz Wagner,2023,ok
data\gamelogs\2023\walkeja01.csv,Jabari Walker,2023,ok
data\gamelogs\2023\walkelo01.csv,Lonnie Walker IV,2023,ok
data\gamelogs\2023\washipj01.csv,P.J. Washington,2023,ok
data\gamelogs\2023\washity01.csv,TyTy Washington Jr.,2023,ok
data\gamelogs\2023\waterli01.csv,Lindy Waters III,2023,ok
data\gamelogs\2023\watfotr01.csv,Trendon Watford,2023,ok
data\gamelogs\2023\watsope01.csv,Peyton Watson,2023,ok
data\gamelogs\2023\weslebl01.csv,Blake Wesley,2023,ok
data\gamelogs\2023\westbru01.csv,Russell Westbrook,2023,ok
data\gamelogs\2023\whiteco01.csv,Coby White,2023,ok
data\gamelogs\2023\whitede01.csv,Derrick White,2023,ok
data\gamelogs\2023\wiggiaa01.csv,Aaron Wiggins,2023,ok
data\gamelogs\2023\wiggian01.csv,Andrew Wiggins,2023,ok
data\gamelogs\2023\willial06.csv,Alondes Williams,2023,ok
data\gamelogs\2023\willigr01.csv,Grant Williams,2023,ok
data\gamelogs\2023\willija06.csv,Jalen Williams,2023,ok
data\gamelogs\2023\willija07.csv,Jaylin Williams,2023,ok
data\gamelogs\2023\willije02.csv,Nate Williams,2023,ok
data\gamelogs\2023\willike01.csv,Kenrich Williams,2023,ok
data\gamelogs\2023\willima07.csv,Mark Williams,2023,ok
data\gamelogs\2023\willipa01.csv,Patrick Williams,2023,ok
data\gamelogs\2023\williro01.csv,Robert Williams,2023,ok
data\gamelogs\2023\willivi01.csv,Vince Williams Jr.,2023,ok
data\gamelogs\2023\willizi01.csv,Zion Williamson,2023,ok
data\gamelogs\2023\wisemja01.csv,James Wiseman,2023,ok
data\gamelogs\2023\wrighde01.csv,Delon Wright,2023,ok
data\gamelogs\2023\youngtr01.csv,Trae Young,2023,ok
data\gamelogs\2023\yurtsom01.csv,Omer Yurtseven,2023,ok
data\gamelogs\2023\zubaciv01.csv,Ivica Zubac,2023,ok
data\gamelogs\2024\achiupr01.csv,Precious Achiuwa,2024,ok
data\gamelogs\2024\adamsst01.csv,,2024,empty_csv
data\gamelogs\2024\adebaba01.csv,Bam Adebayo,2024,ok
data\gamelogs\2024\agbajoc01.csv,Ochai Agbaji,2024,ok
data\gamelogs\2024\aldamsa01.csv,Santi Aldama,2024,ok
data\gamelogs\2024\alexani01.csv,Nickeil Alexander-Walker,2024,ok
data\gamelogs\2024\allengr01.csv,Grayson Allen,2024,ok
data\gamelogs\2024\allenja01.csv,Jarrett Allen,2024,ok
data\gamelogs\2024\alvarjo01.csv,Jose Alvarado,2024,ok
data\gamelogs\2024\anderky01.csv,Kyle Anderson,2024,ok
data\gamelogs\2024\antetgi01.csv,Giannis Antetokounmpo,2024,ok
data\gamelogs\2024\antetth01.csv,Thanasis Antetokounmpo,2024,ok
data\gamelogs\2024\anthoco01.csv,Cole Anthony,2024,ok
data\gamelogs\2024\anunoog01.csv,OG Anunoby,2024,ok
data\gamelogs\2024\avdijde01.csv,Deni Avdija,2024,ok
data\gamelogs\2024\aytonde01.csv,Deandre Ayton,2024,ok
