player,season,old_url,new_url
Brandon Miller,2026,https://www.basketball-reference.com/players/m/millebr01/gamelog/2026,https://www.basketball-reference.com/players/m/millebr02/gamelog/2026
Derrick Jones Jr.,2024,https://www.basketball-reference.com/players/j/jonesde01/gamelog/2024,https://www.basketball-reference.com/players/j/jonesde02/gamelog/2024
Luka Dončić,2026,https://www.basketball-reference.com/players/d/donilu01/gamelog/2026,https://www.basketball-reference.com/players/d/doncilu01/gamelog/2026
Tim Hardaway Jr.,2026,https://www.basketball-reference.com/players/h/hardati01/gamelog/2026,https://www.basketball-reference.com/players/h/hardati02/gamelog/2026
Dennis Schröder,2026,https://www.basketball-reference.com/players/s/schrdde01/gamelog/2026,https://www.basketball-reference.com/players/s/schrode01/gamelog/2026
Josh Green,2023,https://www.basketball-reference.com/players/g/greenjo01/gamelog/2023,https://www.basketball-reference.com/players/g/greenjo02/gamelog/2023
Gary Trent Jr.,2025,https://www.basketball-reference.com/players/t/trentga01/gamelog/2025,https://www.basketball-reference.com/players/t/trentga02/gamelog/2025
Brandon Williams,2025,https://www.basketball-reference.com/players/w/willibr01/gamelog/2025,https://www.basketball-reference.com/players/w/willibr03/gamelog/2025
Jeff Green,2025,https://www.basketball-reference.com/players/g/greenje01/gamelog/2025,https://www.basketball-reference.com/players/g/greenje02/gamelog/2025
Jaylen Brown,2026,https://www.basketball-reference.com/players/b/brownja01/gamelog/2026,https://www.basketball-reference.com/players/b/brownja02/gamelog/2026
Nikola Jokić,2023,https://www.basketball-reference.com/players/j/jokini01/gamelog/2023,https://www.basketball-reference.com/players/j/jokicni01/gamelog/2023
Caleb Martin,2025,https://www.basketball-reference.com/players/m/martica01/gamelog/2025,https://www.basketball-reference.com/players/m/martica02/gamelog/2025
Nikola Vučević,2023,https://www.basketball-reference.com/players/v/vuevini01/gamelog/2023,https://www.basketball-reference.com/players/v/vucevni01/gamelog/2023
Larry Nance Jr.,2024,https://www.basketball-reference.com/players/n/nancela01/gamelog/2024,https://www.basketball-reference.com/players/n/nancela02/gamelog/2024
Nikola Vučević,2025,https://www.basketball-reference.com/players/v/vuevini01/gamelog/2025,https://www.basketball-reference.com/players/v/vucevni01/gamelog/2025
Jalen Wilson,2024,https://www.basketball-reference.com/players/w/wilsoja01/gamelog/2024,https://www.basketball-reference.com/players/w/wilsoja03/gamelog/2024
Jalen Green,2026,https://www.basketball-reference.com/players/g/greenja01/gamelog/2026,https://www.basketball-reference.com/players/g/greenja02/gamelog/2026
Harrison Barnes,2024,https://www.basketball-reference.com/players/b/barneha01/gamelog/2024,https://www.basketball-reference.com/players/b/barneha02/gamelog/2024
Nikola Jokić,2024,https://www.basketball-reference.com/players/j/jokini01/gamelog/2024,https://www.basketball-reference.com/players/j/jokicni01/gamelog/2024
Jaxson Hayes,2023,https://www.basketball-reference.com/players/h/hayesja01/gamelog/2023,https://www.basketball-reference.com/players/h/hayesja02/gamelog/2023
Alperen Şengün,2026,https://www.basketball-reference.com/players/e/engnal01/gamelog/2026,https://www.basketball-reference.com/players/s/sengual01/gamelog/2026
Tim Hardaway Jr.,2024,https://www.basketball-reference.com/players/h/hardati01/gamelog/2024,https://www.basketball-reference.com/players/h/hardati02/gamelog/2024
Nikola Jović,2023,https://www.basketball-reference.com/players/j/jovini01/gamelog/2023,https://www.basketball-reference.com/players/j/jovicni01/gamelog/2023
Gary Payton II,2026,https://www.basketball-reference.com/players/p/paytoga01/gamelog/2026,https://www.basketball-reference.com/players/p/paytoga02/gamelog/2026
Kevin Porter Jr.,2024,https://www.basketball-reference.com/players/p/porteke01/gamelog/2024,https://www.basketball-reference.com/players/p/porteke02/gamelog/2024
